name,rate,location,cuisines,cost_for_two,type
Spoonful Of Sugar,4,Indiranagar,"Desserts, Bakery, Cafe",800,Desserts
Mama Mia!,4.3,Indiranagar,"Desserts, Cafe",400,Desserts
Bite Me Cupcakes,4.2,Indiranagar,Desserts,300,Desserts
Pulla Reddy Sweets,3.6,Indiranagar,"Mithai, Street Food",250,Desserts
Amma's Pastries,4,Indiranagar,Bakery,400,Desserts
Brownie Heaven,4.3,Indiranagar,Desserts,300,Desserts
XO Belgian Waffle,4.3,Indiranagar,"Desserts, Beverages",400,Desserts
Ibaco,4,Indiranagar,Desserts,300,Desserts
Apsara Ice Cream,4.6,Indiranagar,"Ice Cream, Desserts",200,Desserts
Django,4,Indiranagar,"Cafe, Italian, Pizza, Burger, Beverages",800,Desserts
Kanti Sweets,3.9,Indiranagar,"Mithai, Street Food",400,Desserts
Keventers,4,Indiranagar,"Desserts, Beverages, Ice Cream",400,Desserts
Cake Genie,3.9,Indiranagar,"Desserts, Fast Food",300,Desserts
Namdhari's Salad Bar,3.9,Indiranagar,"Juices, Fast Food, Desserts, Salad",300,Desserts
The Rolling Pin,4,Indiranagar,"Bakery, Desserts",400,Desserts
Salt Mango Tree,4.1,Indiranagar,Kerala,800,Desserts
Grubhouse,4.1,Indiranagar,"Continental, Cafe, Steak",800,Desserts
CakeZone,4.1,Indiranagar,"Bakery, Desserts",500,Desserts
Cream Stone,4.2,Indiranagar,Desserts,300,Desserts
Lahe Lahe Santhe,3.7,Indiranagar,"Cafe, Beverages",300,Desserts
Roll Over,4.2,Indiranagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Desserts
Eddy's Cafe,4.1,Indiranagar,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Desserts
The Waffles Hut,3.9,Indiranagar,Desserts,250,Desserts
Kartik's Mithai Shoppe,4.1,Indiranagar,"Mithai, Street Food",150,Desserts
Lakeview Milkbar,2.9,Indiranagar,"Desserts, Cafe, Bakery",500,Desserts
Chantilly,4.1,Indiranagar,"Cafe, Bakery",450,Desserts
Sri Krishna Sweets,3.7,Indiranagar,"Mithai, Desserts",250,Desserts
Shree Mithai,3.5,Indiranagar,"Desserts, Street Food, Mithai",150,Desserts
Premium Bombay Kulfi,3.5,Indiranagar,Ice Cream,100,Desserts
Sweet Chariot,3.4,Indiranagar,"Bakery, Desserts, Fast Food",500,Desserts
Sweet Truth,4,Indiranagar,"Bakery, Desserts",500,Desserts
The Table,3.9,Indiranagar,"Bakery, Desserts",400,Desserts
The French Loaf,3.5,Indiranagar,"Bakery, Desserts, Sandwich",400,Desserts
Krispy Kreme,4.1,Indiranagar,"Desserts, Beverages",300,Desserts
The Belgian Waffle Co.,4,Indiranagar,Desserts,400,Desserts
Bombay Kulfi,3.7,Indiranagar,"Desserts, Ice Cream",150,Desserts
Cake Palace,3.4,Indiranagar,Bakery,100,Desserts
Jerry Mama's,3.6,Indiranagar,Bakery,250,Desserts
Asha Sweets Center,4.1,Indiranagar,"Mithai, Street Food",200,Desserts
Crisp Cafe,4,Indiranagar,"Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza",1100,Desserts
Bhikaram Chandmal Bhujiawala,3,Indiranagar,"North Indian, Mithai",150,Desserts
The Donut Baker,3.2,Indiranagar,"Bakery, Desserts",150,Desserts
KC Das - Sweet Paradise,2.9,Indiranagar,"Mithai, Street Food",200,Desserts
Chai Cafe,3.9,Indiranagar,Cafe,200,Desserts
Ooty Chocolates,3.8,Indiranagar,Desserts,300,Desserts
La Madeleine Patisserie,3.9,Indiranagar,Bakery,200,Desserts
Cafe Coffee Day The Lounge,2.9,Indiranagar,"Cafe, Fast Food",650,Desserts
Troll,3.8,Indiranagar,"Desserts, Ice Cream",300,Desserts
Baskin Robbins,3.8,Indiranagar,"Ice Cream, Desserts",250,Desserts
Kulfi Point,3.4,Indiranagar,Desserts,150,Desserts
INDULGE by InnerChef,3.5,Indiranagar,"Desserts, Bakery",400,Desserts
Breadworks,2.9,Indiranagar,"Bakery, Cafe",500,Desserts
Just Kulfi,3.4,Indiranagar,"Ice Cream, Fast Food",300,Desserts
Melting Spot,4,Indiranagar,"Cafe, Desserts, Beverages, Italian",600,Desserts
Tempteys,4.1,Indiranagar,"Desserts, Beverages",400,Desserts
Daily Bread,2.7,Indiranagar,"Bakery, Fast Food, Italian",600,Desserts
Neffy's - Cakes & More,3.5,Indiranagar,Bakery,300,Desserts
Choco Allure,3.4,Indiranagar,Desserts,300,Desserts
Orchard Fresh,3.4,Indiranagar,"Ice Cream, Desserts",400,Desserts
Huga Icecream,3.7,Indiranagar,Ice Cream,200,Desserts
Nandhana Mithai,3.7,Indiranagar,"Mithai, Desserts",500,Desserts
Ice Cream Works,3.8,Indiranagar,"Ice Cream, Ice Cream",300,Desserts
Wats Ur Scoop?,4,Indiranagar,"Desserts, Ice Cream",300,Desserts
Sweet Mansion,3.7,Indiranagar,Bakery,200,Desserts
Bindu's Freshbake,3.7,Indiranagar,"Bakery, Desserts",350,Desserts
The Lassi Palace,3.7,Indiranagar,Desserts,150,Desserts
Jini's Goodies,3.7,Indiranagar,"Desserts, Bakery",500,Desserts
Stand View Cake N Snack,3.7,Indiranagar,"Bakery, Fast Food, Beverages",300,Desserts
Ice Creamist,3.7,Indiranagar,"Ice Cream, Desserts, Beverages",300,Desserts
Omm Sweets & Snacks,3.7,Indiranagar,"Mithai, Street Food",100,Desserts
Bombay Kulfis,3.3,Indiranagar,Ice Cream,200,Desserts
Taantraa - Organic Handbaking,3.7,Indiranagar,"Bakery, Desserts",350,Desserts
Warm Oven,4.3,Domlur,"Bakery, Desserts",500,Desserts
Gooey & Fluffy,3.9,Thippasandra,"Desserts, Bakery",200,Desserts
Madhu Iyengars Bakery,3.6,Domlur,Bakery,400,Desserts
Tango Bango,3.5,Jeevan Bhima Nagar,"Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",500,Desserts
Laddoos,2.9,Jeevan Bhima Nagar,"North Indian, Street Food, Mithai",250,Desserts
All Shook Up!,3.9,Domlur,"Desserts, Beverages",300,Desserts
Cake Dilim,3.7,Jeevan Bhima Nagar,Bakery,500,Desserts
Nutty Squirrel,3.6,Thippasandra,"Ice Cream, Desserts",300,Desserts
Under The Tree,3,Domlur,"Desserts, Juices, Fast Food",200,Desserts
Just Bake,3,Jeevan Bhima Nagar,"Bakery, Desserts",400,Desserts
New Shanthi Sagar,2.8,Domlur,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",450,Desserts
Brea,3.4,Jeevan Bhima Nagar,"Bakery, Fast Food, Street Food",300,Desserts
SKY FOG,3.2,Thippasandra,"Desserts, Ice Cream, Fast Food",300,Desserts
Amrutha Sweets,3.7,Thippasandra,"Street Food, Mithai",200,Desserts
KrumbKraft,3.5,Domlur,"Bakery, European",300,Desserts
Shanthi Sweets & Bakery,3.4,Thippasandra,"Mithai, Street Food",200,Desserts
Delicious Ice Cream Parlour,3.2,Jeevan Bhima Nagar,"Ice Cream, Desserts",300,Desserts
Kanti's,3.3,Thippasandra,"Mithai, Street Food",300,Desserts
Cafe Oleiva,3.3,Thippasandra,Cafe,500,Desserts
Fudgy Love Designer Cakes,3.7,Domlur,"Bakery, Desserts",600,Desserts
Cafe Velvette,3.5,Domlur,"Cafe, American, Italian, Continental",400,Desserts
Oven Fresh,3.7,Domlur,"Bakery, Fast Food",600,Desserts
Cake N Cream,3.7,Jeevan Bhima Nagar,"Bakery, Desserts",360,Desserts
Chill Out,3.4,Thippasandra,"Beverages, Juices",150,Desserts
Cake Inc.,3.7,Domlur,"Bakery, Desserts",450,Desserts
Cream and Bakes,3.5,Domlur,Desserts,100,Desserts
Indira Sweets,3.7,Thippasandra,"Street Food, Mithai",100,Desserts
Artinci Artisanal Ice Cream,3.7,Jeevan Bhima Nagar,"Desserts, Ice Cream",300,Desserts
Waffle In The Box,3.7,Thippasandra,Desserts,300,Desserts
Marzipan Cafe & Bakery,4.2,Ulsoor,"Cafe, Mediterranean, Bakery, Greek",700,Desserts
Anand Sweets and Savouries,4,Old Airport Road,"Mithai, Street Food",400,Desserts
The Leela Cake Shop - The Leela Palace,3.9,Old Airport Road,"Desserts, Bakery",1200,Desserts
Book My Cakes,3.3,Old Airport Road,Bakery,300,Desserts
Brown Crust Cafe,2.9,Old Airport Road,"Cafe, Italian, Desserts",300,Desserts
The Chocolate Heaven,3.8,Old Airport Road,"Desserts, Cafe, Italian, Beverages",700,Desserts
Banchharam,3.9,Ulsoor,"Street Food, Mithai",200,Desserts
ROYCE' Chocolate,3.5,MG Road,Desserts,1000,Desserts
4 Mangoes,3.7,Old Airport Road,Ice Cream,200,Desserts
Venus Bake Point,3.5,Old Airport Road,Bakery,500,Desserts
Juicy,3.8,Old Airport Road,"Beverages, Juices, Fast Food",200,Desserts
24 Hours Cake Delivery,3.3,Old Airport Road,Bakery,700,Desserts
Bake a Smile,3.4,Old Airport Road,"Bakery, Desserts",400,Desserts
Shawn's Bakehouse,3.7,Old Airport Road,Bakery,100,Desserts
Me And My Cake,3.7,Old Airport Road,"Bakery, Desserts",500,Desserts
Homey Bake & Juice,3.7,Old Airport Road,Bakery,100,Desserts
Sly Granny - The Community House,4.4,Indiranagar,"Modern Indian, European, American",2500,Dine-out
The Twisted Desi,3.7,Indiranagar,"Continental, Italian, North Indian, Chinese",1000,Dine-out
Nevermind - Bar & Social,3.7,Indiranagar,"Continental, Asian, Modern Indian",1700,Dine-out
Barbeque Nation,4.7,Indiranagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600,Dine-out
Toit,4.7,Indiranagar,"Italian, American, Pizza",1500,Dine-out
Bob's Bar,4.3,Indiranagar,"South Indian, Finger Food",1000,Dine-out
Dindigul Thalappakatti,4.3,Indiranagar,"Biryani, Chinese, North Indian, South Indian",800,Dine-out
Burma Burma,4.7,Indiranagar,"Asian, Burmese",1500,Dine-out
Arena - Artisanal Brewkitchen,4.1,Indiranagar,"Sushi, Continental, Pizza, Italian, Asian",2000,Dine-out
Vapour Pub & Brewery,4.2,Indiranagar,"North Indian, Continental, Chinese",1400,Dine-out
Bombay Brasserie,4.4,Indiranagar,Modern Indian,1800,Dine-out
The Fatty Bao - Asian Gastro Bar,4.6,Indiranagar,"Asian, Thai, Vietnamese, Malaysian, Beverages",1200,Dine-out
Delhi Highway,4.5,Indiranagar,North Indian,1200,Dine-out
The Black Rabbit,4.3,Indiranagar,"Continental, Salad, Burger, Finger Food, Pizza",1500,Dine-out
1131 Bar + Kitchen,4.6,Indiranagar,"Continental, Asian, Italian, North Indian",1500,Dine-out
Smoke House Deli,4.6,Indiranagar,"European, Italian, Desserts, Salad, Juices, Steak",1600,Dine-out
The Pizza Bakery,4.8,Indiranagar,"Italian, Pizza, Beverages",1200,Dine-out
Three Dots & A Dash,4.1,Indiranagar,"European, Continental",1300,Dine-out
Truffles,4.6,Indiranagar,"Cafe, American, Burger, Steak",900,Dine-out
LOFT38,4.3,Indiranagar,"Continental, American, Asian, North Indian, Burger",2100,Dine-out
Chianti,4.7,Indiranagar,Italian,1500,Dine-out
Tipsy Bull - The Bar Exchange,4.4,Indiranagar,"Chinese, Continental, North Indian, Mexican",1400,Dine-out
Rajdhani Thali Restaurant,4,Indiranagar,North Indian,1000,Dine-out
BTDT? Been There Done That,4.3,Indiranagar,"European, Continental, Asian, Finger Food",1300,Dine-out
The Teal Door Cafe,4.2,Indiranagar,"Cafe, Continental",800,Dine-out
Tippler,4.2,Indiranagar,"Russian, Continental, North Indian",1300,Dine-out
Tandoori Taal,4.3,Indiranagar,"Biryani, North Indian",900,Dine-out
Urban Tamaasha,4.1,Indiranagar,"North Indian, Chinese, Continental",1200,Dine-out
Mainland China,4.4,Indiranagar,"Chinese, Momos",1700,Dine-out
Paradise,4.1,Indiranagar,"Biryani, North Indian, Kebab",800,Dine-out
Bricklane,4.2,Indiranagar,"Italian, Mediterranean, Pizza",1500,Dine-out
Little Italy,4.3,Indiranagar,"Italian, Pizza, Mexican",1400,Dine-out
Monkey Bar,4.3,Indiranagar,"American, Asian, European, North Indian",1400,Dine-out
Dhaba - Estd 1986 Delhi,4.4,Indiranagar,North Indian,1100,Dine-out
Phobidden Fruit,4.4,Indiranagar,"Vietnamese, Salad",1100,Dine-out
Mamagoto,4.4,Indiranagar,"Asian, Thai, Chinese, BBQ, Momos",1600,Dine-out
Bologna,4.5,Indiranagar,Italian,1000,Dine-out
The Marina,4.4,Indiranagar,"Seafood, Continental, North Indian, South Indian",1200,Dine-out
Onesta,4.3,Indiranagar,"Pizza, Cafe, Italian",600,Dine-out
Bhartiya Jalpan,4.1,Indiranagar,"North Indian, Street Food, Chinese",800,Dine-out
Ciclo Cafe,4.3,Indiranagar,"Cafe, Italian, American",1000,Dine-out
Lono,4.2,Indiranagar,"Continental, Modern Indian",1500,Dine-out
Lazy Suzy,4.3,Indiranagar,"Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1000,Dine-out
Nagarjuna,4.2,Indiranagar,"Andhra, Biryani",850,Dine-out
Pasta Street,4.5,Indiranagar,"Italian, Pizza, Salad",1300,Dine-out
Nando's,4.3,Indiranagar,"Portuguese, African",1200,Dine-out
The Yogisthaan Cafe,4.2,Indiranagar,"Cafe, Healthy Food, Salad, Beverages",600,Dine-out
Thai Chy,4.3,Indiranagar,"Thai, Asian, Indonesian",1200,Dine-out
Southindies,4.1,Indiranagar,"South Indian, Chettinad, Kerala, Sri Lankan",800,Dine-out
Meghana Foods,4.2,Indiranagar,"Biryani, Chinese, North Indian, Seafood",750,Dine-out
Barebones - The Balcony Bar,4.2,Indiranagar,"Chinese, Continental, Finger Food, Italian",1500,Dine-out
Esplanade,4.3,Indiranagar,Bengali,1000,Dine-out
Oye Amritsar,3.9,Indiranagar,North Indian,1000,Dine-out
Cafe Max,4.2,Indiranagar,"Cafe, Continental, Italian, German, French, Spanish",1300,Dine-out
BabaYaga's,4.1,Indiranagar,"American, Finger Food",1500,Dine-out
NH8,4.1,Indiranagar,Rajasthani,800,Dine-out
Taiki,3.7,Indiranagar,"Asian, Japanese, Korean, Thai, Sushi",1000,Dine-out
Chinita Real Mexican Food,4.4,Indiranagar,Mexican,1200,Dine-out
Maravanthe,4.4,Indiranagar,"Seafood, Mangalorean",1000,Dine-out
Monet's Bistro,4.5,Indiranagar,"Cafe, Beverages",600,Dine-out
Peacock,3.9,Indiranagar,"North Indian, BBQ, Mughlai",1200,Dine-out
Nandhana Palace,4.2,Indiranagar,"Andhra, Biryani, North Indian, Chinese",800,Dine-out
Brik Oven,3.7,Indiranagar,"Cafe, Pizza, Beverages",1100,Dine-out
Chai Days,4.4,Indiranagar,"Cafe, Tea, Beverages, Fast Food",200,Dine-out
Pulimunchi,4.3,Indiranagar,"Mangalorean, Seafood",1000,Dine-out
Plan B,4.2,Indiranagar,"American, Continental, BBQ, Steak",1200,Dine-out
Empire Restaurant,4.2,Indiranagar,"North Indian, Mughlai, South Indian, Chinese",750,Dine-out
China Bistro & Lounge,4.4,Indiranagar,"Asian, Chinese, Thai, Korean",1600,Dine-out
Jonah's,4.1,Indiranagar,"Italian, Seafood, American, Continental",1100,Dine-out
Cafe Terra,4.2,Indiranagar,"Cafe, Continental, Fast Food",500,Dine-out
Kobe Sizzlers,4.1,Indiranagar,"American, Continental, Fast Food, Steak",1500,Dine-out
Haute,4.2,Indiranagar,"Continental, European, Asian, Seafood, Spanish",1200,Dine-out
Aaha Andhra,4.2,Indiranagar,"Andhra, Biryani, North Indian",900,Dine-out
Swing,3.8,Indiranagar,"North Indian, Chinese, Mangalorean",1000,Dine-out
Sanchez Taqueria & Cantina,4.1,Indiranagar,"Mexican, Tex-Mex",800,Dine-out
Forage,4.1,Indiranagar,"Healthy Food, Beverages, European, Salad",1500,Dine-out
Aagaman Veg,4,Indiranagar,"North Indian, Chinese, South Indian",900,Dine-out
Wall Street 657,4.1,Indiranagar,"Finger Food, Continental",1200,Dine-out
Cup Chronicles Cafe,3.9,Indiranagar,"Cafe, Continental, Tea, Beverages, Desserts",450,Dine-out
Food Coma,3.7,Indiranagar,"Continental, Seafood, Biryani, Desserts, North Indian, Chinese, Bakery, Kebab",800,Dine-out
Byblos,4.2,Indiranagar,"Lebanese, Arabian, Middle Eastern, Salad, Beverages",1700,Dine-out
Anjappar,3.8,Indiranagar,"Chettinad, South Indian",650,Dine-out
House Of Seitan,3.7,Indiranagar,"Cafe, Healthy Food, Salad, Beverages",700,Dine-out
Xtreme Sports Bar,3.6,Indiranagar,"Continental, Chinese, North Indian",1400,Dine-out
Bean Flickers,4.3,Indiranagar,"Cafe, American, Fast Food, Coffee, Continental",700,Dine-out
Agent Jack's Bar,4,Indiranagar,"Continental, North Indian, Italian",1300,Dine-out
Hangover,4,Indiranagar,"Thai, Chinese, North Indian, Continental, Steak",1500,Dine-out
Power House Pitstsa,3.7,Indiranagar,"Continental, Burger, Desserts, Sandwich, Italian, Pizza, Bakery, Salad",800,Dine-out
Pecos Stones,4.2,Indiranagar,Finger Food,1100,Dine-out
Imli,3.8,Indiranagar,"North Indian, Street Food",900,Dine-out
Third Wave Coffee Roasters,4.2,Indiranagar,"Cafe, Continental, Desserts",800,Dine-out
The Punjabi Rasoi,4.1,Indiranagar,North Indian,800,Dine-out
Dhyaana,4.4,Indiranagar,"Cafe, Healthy Food, Momos",600,Dine-out
The Ants Cafe & Store,3.9,Indiranagar,"Cafe, Italian",900,Dine-out
Infinitea Tea Room & Tea Store,4.3,Indiranagar,"Continental, Cafe, Desserts, Salad, Momos",1000,Dine-out
The Restaurant - Coorg,4.3,Indiranagar,South Indian,1100,Dine-out
Soo Ra Sang,4.1,Indiranagar,Korean,1500,Dine-out
Bangalore Mandarin,4.2,Indiranagar,"Chinese, Seafood",1100,Dine-out
Elongo's,3.9,Indiranagar,"Finger Food, South Indian, Continental",900,Dine-out
The Kebab Room - Restaurant & Brewery,4,Indiranagar,"Mughlai, North Indian",1000,Dine-out
Suryawanshi,4.2,Indiranagar,"Seafood, Maharashtrian",700,Dine-out
Waffle Magic,4.2,Indiranagar,"Cafe, Desserts",700,Dine-out
Wanley,4,Indiranagar,Chinese,500,Dine-out
Blu Oyster,3.7,Indiranagar,"Seafood, Continental, European, Mediterranean",1500,Dine-out
Matteo Coffea,4.2,Indiranagar,Cafe,600,Dine-out
Sherlock's Pub,3.9,Indiranagar,"Continental, North Indian, Chinese",1500,Dine-out
Imperial Restaurant,3.9,Indiranagar,"North Indian, Chinese, Biryani, Kebab, Juices",800,Dine-out
Cafe Braqa,4,Indiranagar,"Cafe, Italian, Continental, Beverages",700,Dine-out
Baba Da Dhaba,4,Indiranagar,North Indian,650,Dine-out
Smally's Resto Cafe,4,Indiranagar,"Cafe, Italian, Burger, American, Steak",650,Dine-out
Tea Brew,4.1,Indiranagar,"Cafe, Continental, Momos, Italian, North Indian",500,Dine-out
Shaap,4,Indiranagar,"Kerala, Seafood",500,Dine-out
Bathinda Dine,4.1,Indiranagar,North Indian,950,Dine-out
Bottle & Glass,4,Indiranagar,"Continental, Chinese, Italian",1400,Dine-out
Asaivam Restaurant,4,Indiranagar,"Chettinad, South Indian",750,Dine-out
Seafood Place,4.1,Indiranagar,"Chinese, North Indian, Kerala, Mangalorean, Seafood",800,Dine-out
Vietnamese Kitchen,4.1,Indiranagar,"Chinese, Vietnamese, Momos, Thai",800,Dine-out
A2B - Adyar Ananda Bhavan,3,Indiranagar,"South Indian, North Indian, Chinese, Street Food",400,Dine-out
The Tiny Taproom,3.7,Indiranagar,"South Indian, North Indian, Chinese, Thai",800,Dine-out
Copper Chimney,4.1,Indiranagar,"North Indian, Biryani",1200,Dine-out
Pot-O-Noodles,4.5,Indiranagar,"Chinese, Asian, Japanese",800,Dine-out
Cafe Secret Alley,4,Indiranagar,"Fast Food, Cafe",450,Dine-out
Tunday Kababi,3.8,Indiranagar,"North Indian, Rolls, Kebab",500,Dine-out
Zaica Dine & Wine,4,Indiranagar,North Indian,1200,Dine-out
Annapoorani,3.9,Indiranagar,South Indian,500,Dine-out
Viceroy's Sarathi,3.8,Indiranagar,"North Indian, Chinese",750,Dine-out
Jimi's Beer Cafe,3.9,Indiranagar,"American, North Indian, Chinese",1700,Dine-out
Srinathji's,3.6,Indiranagar,"Biryani, Chinese, Continental, North Indian, Pizza",850,Dine-out
Django,4,Indiranagar,"Cafe, Italian, Pizza, Burger, Beverages",800,Dine-out
Bflat Bar,3.9,Indiranagar,"North Indian, Chinese, Continental, Bengali",1600,Dine-out
Tata Cha,3.9,Indiranagar,"Cafe, Tea, North Indian",500,Dine-out
Bootlegger,4,Indiranagar,"Continental, Steak",1800,Dine-out
Raaga,3.8,Indiranagar,"North Indian, Chinese, Continental",1200,Dine-out
Fai Dang,3.7,Indiranagar,"Asian, Continental",1100,Dine-out
Just Khao Suey,4.1,Indiranagar,Burmese,600,Dine-out
AhimsaAmrit Green Cafe,3.4,Indiranagar,"Healthy Food, Salad, Continental",800,Dine-out
Salt Mango Tree,4.1,Indiranagar,Kerala,800,Dine-out
The Mad Teapot,4.1,Indiranagar,Cafe,850,Dine-out
UTHRA,4,Indiranagar,"North Indian, Modern Indian",800,Dine-out
New Punjabi Hotel,3.7,Indiranagar,"North Indian, Chinese",350,Dine-out
Grubhouse,4.1,Indiranagar,"Continental, Cafe, Steak",800,Dine-out
Doff Pub and Lounge,4.1,Indiranagar,"Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai",1500,Dine-out
Thai House,4.2,Indiranagar,Thai,800,Dine-out
Gokul Kuteera,3.9,Indiranagar,"North Indian, Chinese, South Indian",650,Dine-out
Lahe Lahe Santhe,3.7,Indiranagar,"Cafe, Beverages",300,Dine-out
Singh Saab,3.7,Indiranagar,North Indian,850,Dine-out
Chung's Chinese Corner,2.7,Indiranagar,Chinese,700,Dine-out
Regulars Pub & Grub,3.8,Indiranagar,"Continental, South Indian, Mangalorean, Chinese, North Indian, Seafood",1000,Dine-out
Nakkshatra,3.9,Indiranagar,"North Indian, Andhra",1100,Dine-out
Coastal Delight,4.1,Indiranagar,"Seafood, South Indian, North Indian, Mangalorean, Chinese",650,Dine-out
Little Orissa Restaurant,3.9,Indiranagar,"Oriya, North Indian, Bengali, Chinese",450,Dine-out
Treat,3.9,Indiranagar,"North Indian, Mughlai",800,Dine-out
Andal Mess,3.6,Indiranagar,"Biryani, South Indian, North Indian",250,Dine-out
Nandhini Paradise,3.7,Indiranagar,North Indian,600,Dine-out
iSpice Resto Cafe,3.7,Indiranagar,"Cafe, North Indian, Chinese, Fast Food",600,Dine-out
Chungs Pavilion,3.9,Indiranagar,Chinese,650,Dine-out
Kim Lee Restaurant,3.8,Indiranagar,"Chinese, Momos",650,Dine-out
Meaza Ginger Multi Cuisine Restaurant,3.6,Indiranagar,"North Indian, Chinese, South Indian, Kerala",550,Dine-out
Give Me 5 Cafe,3.4,Indiranagar,"Cafe, Continental",500,Dine-out
Kund Indian Barbeque,4,Indiranagar,"North Indian, Mughlai",1100,Dine-out
Tea Journey,3.8,Indiranagar,Cafe,500,Dine-out
New Shanthi Sagar,2.8,Indiranagar,"South Indian, North Indian, Chinese, Street Food",650,Dine-out
ABC Grand,3.5,Indiranagar,"Andhra, Chinese, North Indian",700,Dine-out
Keto Kitchen,3.1,Indiranagar,Healthy Food,500,Dine-out
The Beer Joint,3.4,Indiranagar,"North Indian, Chinese",800,Dine-out
Blistering Barnacles,3.9,Indiranagar,"Chinese, Continental, American, Steak",1200,Dine-out
New Leaf Restaurant,3.7,Indiranagar,Chinese,1500,Dine-out
J's Cafe,3.9,Indiranagar,"Cafe, Continental",700,Dine-out
Vasudev Adiga's,3,Indiranagar,"South Indian, North Indian, Chinese",400,Dine-out
Cafe Ritzz,3.7,Indiranagar,"American, Finger Food, Italian, Mexican",800,Dine-out
Ambur Star Briyani,3.6,Indiranagar,"North Indian, Chinese, Biryani",500,Dine-out
Flavors of India,3.7,Indiranagar,"North Indian, South Indian, Andhra, Continental",600,Dine-out
Crisp Cafe,4,Indiranagar,"Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza",1100,Dine-out
Take 5,3.5,Indiranagar,"Chinese, Continental, Steak",1300,Dine-out
Bites 2 Binge,3.7,Indiranagar,North Indian,750,Dine-out
Cup Shup,2.8,Indiranagar,"Cafe, Continental, Fast Food",500,Dine-out
Chung Wah Express,2.8,Indiranagar,"Chinese, Thai, Momos, Vietnamese",600,Dine-out
Sunny Side Bistro,3.7,Indiranagar,"Cafe, Continental",700,Dine-out
Cafe Coffee Day The Lounge,2.9,Indiranagar,"Cafe, Fast Food",650,Dine-out
Danny Lambas Punjabi Dhaba,3.5,Indiranagar,"North Indian, Chinese, Biryani",600,Dine-out
Bhagini Icon Boutique Hotel,3.1,Indiranagar,"South Indian, North Indian, Continental",600,Dine-out
Shalimar,4,Indiranagar,"North Indian, Chinese, Seafood",700,Dine-out
UBCR,3.3,Indiranagar,"Italian, American, Chinese, Arabian, North Indian, Cafe",350,Dine-out
New Krishna Sagar,3.3,Indiranagar,"South Indian, North Indian, Chinese",300,Dine-out
Origami,3.4,Indiranagar,Japanese,700,Dine-out
Rayalaseema Spice,3.6,Indiranagar,"Andhra, South Indian, North Indian",650,Dine-out
Shree Annapoorneshwari Mess,3.3,Indiranagar,South Indian,200,Dine-out
Pizza Hut,3.1,Indiranagar,"Pizza, Fast Food",750,Dine-out
Melting Spot,4,Indiranagar,"Cafe, Desserts, Beverages, Italian",600,Dine-out
Chaavadi,3.7,Indiranagar,"North Indian, Biryani, Seafood, Chinese, Mangalorean",750,Dine-out
Hotel Green Land,3.3,Indiranagar,"North Indian, South Indian",400,Dine-out
Tea Garden,3.7,Indiranagar,"North Indian, Chinese",600,Dine-out
Aishwarya Bar and Restaurant,3.7,Indiranagar,Finger Food,800,Dine-out
All Seasons Restaurants,3.7,Indiranagar,"North Indian, South Indian",700,Dine-out
Swagath Authentic Nati Style,3.7,Indiranagar,"Biryani, South Indian",350,Dine-out
C-harge by Chefkraft,3.4,Indiranagar,"Cafe, Continental",600,Dine-out
H3O,3.1,Indiranagar,"North Indian, Chinese",1000,Dine-out
Bery's Cafe,3.7,Indiranagar,"Juices, Beverages",150,Dine-out
Sriracha Robata & Contemporary Pan Asian Dining,3.7,Indiranagar,"Asian, BBQ, Seafood, Chinese",1000,Dine-out
Cross Roads Cafe,3,Indiranagar,"Cafe, Italian, Tex-Mex, Fast Food, Burger",500,Dine-out
Head O State,3.8,Indiranagar,"Continental, Chinese, North Indian",1000,Dine-out
Bhavani Sri,3,Indiranagar,"Andhra, Biryani, Seafood",700,Dine-out
Dakshin Biryani & Tiffin,3.4,Indiranagar,"Andhra, South Indian, North Indian",550,Dine-out
Fog City Cafe,3.7,Indiranagar,Fast Food,500,Dine-out
One Night In Bangkok,3.7,Indiranagar,"Asian, Thai",1400,Dine-out
Glen's Bakehouse,4.2,Indiranagar,"Bakery, Cafe, Italian, Desserts",600,Dine-out
Mavalli Tiffin Room (MTR),4.3,Indiranagar,South Indian,300,Dine-out
McDonald's,3.9,Indiranagar,"Burger, Fast Food",500,Dine-out
Sendhoor Coffee,3.9,Indiranagar,"Coffee, Street Food",150,Dine-out
KFC,3.1,Indiranagar,"Burger, Fast Food",450,Dine-out
Cita Pani,3.9,Indiranagar,"Biryani, North Indian, Arabian",350,Dine-out
Sri Udupi Park,4.2,Indiranagar,"South Indian, North Indian, Chinese, Beverages",300,Dine-out
Gobble Up Churros Cafe,4.3,Indiranagar,"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",400,Dine-out
Taco Bell,4.2,Indiranagar,"Mexican, American, Fast Food",600,Dine-out
